ChannelName,Calibration,DecayTime,RMS_keV,RMS_keV sigma
X1-12,1.080784,218.350917,43.001056,3.227455
X13,1.006839,373.16413,20.401463,1.114925
X14,0.98835,385.112331,20.924138,1.135735
X15,1.026779,395.731914,20.451969,1.111658
X16,1.949497,428.013071,8.854004,0.56432
X17,2.066524,454.867452,8.830371,0.610696
X18,2.030872,436.329761,8.898265,0.569978
X19,2.018855,421.476176,8.610739,0.524468
X20,0.971441,393.562566,20.09018,1.087208
X21,0.984041,381.182494,20.767843,1.099497
X22,1.043984,392.642787,21.655278,1.152086
X23/24,1.041238,395.270775,20.806659,1.103967
X25/26,1.082616,362.852652,23.729976,1.319759
X27/28,1.019562,362.903823,24.925436,1.449296
X29/30,1.926988,300,15,1.5
Y1-10,1.124574,220.177743,38.427647,2.888755
Y11,0.999629,336.95451,20.427801,1.114368
Y12,0.985199,342.909975,21.353911,1.130243
Y13,1.035688,375.471621,20.443485,1.131377
Y14,2.570478,364.445833,7.574701,0.444984
Y15,2.057025,430.749504,8.64051,0.557909
Y16,1.96167,401.468398,9.159058,0.566259
Y17,2.02303,366.996051,8.740374,0.723035
Y18,1.034512,314.864279,21.398611,1.195448
Y19,0.989389,295.266593,20.882513,1.186432
Y20,1.013754,316.139852,21.770624,1.161899
Y21/22,1.02404,317.346648,24.990441,1.404009
Y23/24,1.130982,313.040718,23.780802,1.400996
Y25/26,1.038541,297.191957,25.045486,1.410798
Y27/28,1.06989,324.727292,23.916775,1.346593
Y29/30,0.947477,330.228038,20.805862,1.178856
